ID,force,song1,song2,song3,song4,song5,song6,song7,song8,song9,song10,song11,song12,song13,song14,song15,song16,song17,song18,song19,song20,song21,song22,song23,song24,song25,song26,song27,song28,song29,song30,song31,song32,song33,song34,song35,song36,song37,song38,song39,song40,song41,song42,song43,song44,song45,song46,song47,song48,song49,song50,song51,song52,song53,song54,song55,song56,song57,song58,song59,song60,song61,song62,song63,song64,song65,song66,song67,song68,song69,song70,song71,song72,song73,song74,song75,song76,song77,song78,song79,song80,song81,song82,song83,song84,song85,song86,song87,song88,song89,song90,song91,song92,song93,song94,song95,song96,song97,song98,song99,song100
SV-6546-7094,21.234,9978397,9997039,9977399,9977341,9955583,9924271,9934413,9985100,9964333,9991125,9956955,10000000,9957115,9985163,9942322,9996144,9996183,10000000,9997717,9997827,9997478,9983811,9992343,9995153,10000000,9977452,9994417,9914907,9994591,9942159,9994592,9996107,9975712,9997933,9954832,9988262,9976798,9964485,9945839,9925404,9922680,9967118,9961715,9991605,9968277,9928176,9931565,9993576,10000000,9986766,9988864,9991866,10000000,9976434,9906126,9997938,10000000,9960753,9989651,9990682,9975609,9987740,9938467,9998283,9978145,9985601,9967880,9938692,9924623,9981776,9946695,9989630,10000000,9994972,9978033,9992735,9971590,9985987,9977744,9942315,9972565,9947472,9983646,9993746,9901234,9935424,9979989,9951239,9951028,9923211,9933026,9933428,9917251,9841269,9976459,9930476,9993333,9991310,9902196,9965675
SV-7138-9710,21.211,9974469,10000000,9982614,9992447,9942893,9981067,9972993,9976585,9984395,9968051,9932851,10000000,9951267,9977744,9964200,9980724,10000000,10000000,9961204,9978270,10000000,9939870,9989790,9995153,9995938,9960541,9957201,9952726,9929691,9961439,9922510,9974698,9970854,9966942,9948810,9963112,9930394,9966355,9903988,9937836,9964854,9971228,9965543,9996642,9953635,9965009,9972198,9974304,10000000,9997794,9996288,9991866,9990023,9941779,9925889,10000000,9963429,9962715,9970679,9985091,9982113,9944830,9974196,10000000,9970995,9955003,9931477,9936421,9913854,9945330,9940298,9939858,9950851,9949723,10000000,9992735,9959415,9932274,9959198,9969097,9977137,9952396,9971381,9987492,9962962,9939114,9967483,9995936,9926542,9945898,9920468,9919163,9937311,9901738,9927024,9951759,9953333,9944386,9929280,9944698
SV-5331-1657,21.227,9921445,10000000,9972183,9916918,9917512,9937523,9917052,9965942,9977708,9905928,9764118,9972352,9968810,9908506,9920445,9926754,9956106,9966703,9981743,9958713,9909228,9965309,9964267,9995153,9900487,9981210,9927428,9900724,9951325,9935732,9913482,9984429,9919041,9981404,9810298,9979879,9960556,9960747,9921221,9981351,9925023,10000000,9982771,9966420,9975597,9937384,9982891,9695931,10000000,10000000,9708611,10000000,9986033,9962572,9950592,9973206,9985778,9897959,9968954,9962728,9977235,9981610,9807463,9926192,9907898,9991000,9914346,9813805,9978463,9829157,9861407,9979261,10000000,9984917,9983102,9970940,9912743,9724427,9936943,9969097,9771376,9891661,9971381,9840525,9864197,9957564,9989994,10000000,9965719,9900523,9939305,9833571,9902206,9905517,9976459,9802780,9866666,9914841,9852542,9938977
SV-7827-7675,21.056,9961724,9952198,9954798,9974082,9942119,9965986,9954237,9959550,9991083,9975150,9906215,9980859,9979406,9950391,9935316,9967962,9985138,9994450,9993068,9997620,9991965,9950980,9981263,9989662,9987781,9986252,9986155,9928104,9957817,9944301,9963950,9980537,9957000,9970346,9946270,9969729,9965736,9941199,9962612,9977206,9983598,9984513,9991876,9991605,9951776,9976470,9946536,9963252,9982238,9997663,9986198,10000000,9989587,9915030,9970355,9990929,9986351,9950941,9943735,9952830,9965951,9977728,9988090,9985299,9953271,9983801,9925775,9942196,9944364,9958797,9944562,9977187,9970511,9984917,9901993,9983654,9985795,9906585,9938798,9982913,9919981,9955679,9983646,9910881,9932098,9825274,9909402,9930191,9947676,9888254,9929057,9906666,9951338,9903701,9820747,9939971,0,9461628,0,0
SV-3024-0735,21.203,9974469,10000000,9977399,9902312,9923857,9967815,9955632,9970200,9977708,9975150,9936294,10000000,9990253,9967853,9912490,9967232,9980916,9983351,10000000,10000000,9984871,9993061,10000000,10000000,10000000,9981210,9985113,9966908,9991887,9978577,9971160,10000000,9901230,9958677,9923215,9986586,9958236,9970093,9955686,9962702,9962511,9975339,9980857,9998321,9970717,9990791,9952951,9972162,9998305,9995588,9959168,9916632,9988028,9977820,9938241,9995877,9995936,9960753,9915603,9979500,9964227,9977523,9980150,9958805,9973462,9978401,9901498,9913714,9964106,9936218,9914712,9914973,9900684,9982403,9912132,9985470,9953327,9918262,9910979,9964977,9926840,9949113,9914145,9921826,9954732,9905904,9982491,0,9573947,9979070,0,9977432,9931972,9957627,9954597,9953333,9984358,9981944,9961861,9922316
SV-7601-6668,21.209,9996072,9994079,9987830,9984894,9983079,9975388,9969135,9987228,9991083,9984025,9950068,9995746,9990253,9975272,9958233,9942174,9990458,10000000,9986307,10000000,9989914,9993061,9994895,9993537,9979691,9981210,9959062,9970059,9978366,9942159,9963950,9984429,9959520,9956611,9969888,9983232,9997679,9973831,9913835,9968918,9981255,9981504,9973200,9981531,9958516,9924493,9965782,9967880,9993220,10000000,9961024,9981699,9974062,9973662,9970355,9985572,9977651,9976452,9953432,9977636,9982113,9973436,9964271,9977686,9970340,9985601,9965738,9922797,9967695,9981776,9923240,9937785,9931192,9979889,9988171,9985470,9943181,9943951,9892433,9975278,9979423,9962245,9940038,9924953,9952674,9974169,9974987,9977651,9985308,9980802,9958141,9957203,9982447,9943310,9995291,9967366,9960000,9975669,9980439,9925629
SV-7246-4133,21.082,9961724,10000000,9964840,9964114,9934433,9909963,9951774,9975280,9986625,9923677,9908054,10000000,9987644,9973890,9926692,9931653,9992366,9992600,9984025,9964302,9970540,9974560,9946401,9995153,9937043,9986847,9962420,9952614,9952193,9985004,9989185,9979235,9934640,9960743,9906763,9944800,9958236,9911799,9910269,9966846,9944255,9985614,9983753,9963062,9958516,9958823,9920966,9991434,9980461,9997794,9946766,10000000,9994014,9943166,9910664,10000000,9940855,9948979,9945611,9939072,9943820,9969350,9970226,9965671,9928192,9950210,9929336,9903660,9982053,9949103,9921108,9933637,9921232,9937770,9957755,9981837,9939123,9936321,9919614,9940255,9926840,9955679,9925047,9954659,9917695,9933579,9947473,9965461,9982859,9965095,9920468,9952448,9957372,9950869,9938794,9948921,9964444,9977407,9992476,9956140
SV-4525-4125,21.205,9921434,9958555,9954798,9945241,9949238,9918591,9965277,9976585,9921979,9929002,9948347,9989366,9935672,9960435,9942322,9912430,9973282,10000000,9995435,9997827,9972264,9953746,9997447,9983844,9995938,9988726,9925567,9930664,9972958,9933590,9951333,9990268,9948186,9900826,9947305,9959758,9988399,9986915,9913835,9927476,9934395,9981504,9938744,9969778,9883248,9933333,9940119,9906006,9998305,9995588,9968448,9995933,9972067,9970889,9958003,9975056,9995936,9901883,9958606,9990682,9993495,9961176,9972211,9994850,9953271,10000000,9882226,9938692,9921033,9979498,9950959,9979261,9993446,9987430,10000000,9987286,9991883,9974311,9920252,9913473,9997713,9988509,9983646,9982801,9954732,9964944,9984992,10000000,9955925,9966841,9979070,9919163,10000000,9894179,9941148,9933314,9988888,9980882,9945832,9919908
SV-1653-0206,21.205,9965753,9974506,9944485,9924242,9964381,9941976,9956279,9943820,9929906,9979546,9937500,10000000,9946457,9986945,9926692,9903887,9968152,9927419,9935304,9928605,10000000,9960765,10000000,9927636,9907135,9960722,9976265,9952614,9946569,9968109,9940519,9973006,9962147,9911040,9973135,9924547,9967517,9957009,9932701,9935764,9970916,9955752,9987814,9974526,9967005,9903921,9939562,9942686,9969804,10000000,9970425,9926408,10000000,9907705,9903656,9920634,9939049,9929577,9947486,9954795,9947225,10000000,9980859,9931342,9974218,9980850,9948268,9968689,9966838,9944255,9947689,9968609,10000000,9967532,9905523,9977920,9949160,9966887,9909565,9944468,9956561,9958962,9922322,9909318,9952674,9918819,9949974,9835432,9958374,9942408,0,10000000,0,0,0,9785754,9877777,9862704,9959374,9836003
SV-1025-2893,21.205,9945011,9896388,9977399,9962235,9961928,9926164,9986496,9995742,9975479,9978700,9970730,10000000,9976608,9985163,9926412,9996144,9984732,10000000,9997717,9991308,9992435,9990749,9989790,9991922,10000000,9986847,9998139,9962180,9991887,9944301,9994592,9986376,9967616,9969008,9944293,9981556,9979118,9951401,9938453,9983423,9960168,9995889,9959800,9998321,9953635,9959484,9963644,9950749,10000000,9991177,9996288,9995933,9980047,9965345,9945652,9991755,9997968,9974489,9974129,9986954,9985365,9989783,9980150,9991417,9976584,9992800,9907922,9970481,9931801,9986332,9918976,9950228,10000000,9987430,9983102,9994551,9977678,9983652,9964762,9993819,9993141,9985226,9986372,9974984,9960905,9963099,9977488,9969524,9919196,9951134,9937212,9959581,9972417,9901738,9967043,9984392,9988888,9975669,9984953,9973302
